Activity,time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
Classroom,1.77575E+18,394.2679883,-0.334371984,0.312891275,-0.818873644,0.346035361,-2.589035988,0.888239682,-2.67983222
Classroom,1.77575E+18,396.3604497,-0.334544808,0.3136608,-0.818615794,0.345781744,-2.589490652,0.888286293,-2.677768707
Classroom,1.77575E+18,398.4530029,-0.335042596,0.314538747,-0.818246007,0.345377177,-2.589111567,0.888258994,-2.675778389
Classroom,1.77575E+18,400.5450986,-0.335354328,0.314766943,-0.81809783,0.345217705,-2.588469982,0.888236582,-2.67548728
Classroom,1.77575E+18,402.6371526,-0.335558057,0.315167606,-0.817979217,0.344935149,-2.588357687,0.888003588,-2.674514055
Classroom,1.77575E+18,404.7294307,-0.335848927,0.315616846,-0.817855835,0.344533503,-2.588039875,0.887596369,-2.67347765
Classroom,1.77575E+18,406.8215869,-0.335765898,0.315877885,-0.817754924,0.344614744,-2.588625669,0.887891352,-2.672644377
Classroom,1.77575E+18,408.9136514,-0.335625798,0.31598103,-0.817718923,0.344742358,-2.589182615,0.888152301,-2.672203541
Classroom,1.77575E+18,411.0057163,-0.335761905,0.315434515,-0.817697227,0.3451612,-2.588115931,0.888769209,-2.674098253
Classroom,1.77575E+18,413.0976665,-0.335015476,0.314614952,-0.81824851,0.345327973,-2.589285135,0.888187945,-2.675506353
Classroom,1.77575E+18,415.1897302,-0.335258693,0.31499508,-0.818066061,0.345177859,-2.589041233,0.888245583,-2.674690247
Classroom,1.77575E+18,417.2817939,-0.333783269,0.312055022,-0.819276631,0.34640485,-2.589733124,0.888172626,-2.681567669
Classroom,1.77575E+18,419.3739797,-0.334061146,0.312848121,-0.819077909,0.345890969,-2.589888096,0.88773495,-2.679488182
Classroom,1.77575E+18,421.4660435,-0.334570706,0.313497365,-0.81879282,0.34548533,-2.5891819,0.887563527,-2.678170204
Classroom,1.77575E+18,423.5582112,-0.335528463,0.315535188,-0.817985117,0.344613582,-2.58888793,0.887537718,-2.673309565
Classroom,1.77575E+18,425.6500605,-0.335713625,0.316048175,-0.81774509,0.344532907,-2.588990688,0.887797415,-2.672057629
Classroom,1.77575E+18,427.7417271,-0.335416466,0.316699475,-0.817785561,0.344127834,-2.590662956,0.887186766,-2.669653893
Classroom,1.77575E+18,429.8333933,-0.335517645,0.316826671,-0.817718625,0.344071418,-2.590522528,0.887204349,-2.669404984
Classroom,1.77575E+18,431.9253342,-0.33495757,0.315825731,-0.818027377,0.344802737,-2.590960741,0.88781178,-2.671773911
Classroom,1.77575E+18,434.0170615,-0.335515618,0.31663838,-0.817641199,0.344430417,-2.590321064,0.887847662,-2.670062304
Classroom,1.77575E+18,436.1089402,-0.33553198,0.316821277,-0.817640841,0.344247282,-2.590489864,0.887583613,-2.669497967
Classroom,1.77575E+18,438.2008521,-0.337397695,0.319372177,-0.816333055,0.343168586,-2.588150024,0.88796705,-2.664304495
Classroom,1.77575E+18,440.2930994,-0.337164283,0.320171326,-0.816243708,0.342865437,-2.589830637,0.887703359,-2.661594391
